xref[mm],s[mm],p[bar],u[V],t[ms] 
4.395,1.704,3.140,0.640,10.000
4.395,1.681,3.140,0.640,10.000
4.395,1.704,3.140,0.640,10.000
4.395,1.681,3.140,0.640,10.000
4.395,1.704,3.140,0.640,10.000
4.395,1.681,3.140,0.640,10.000
4.395,1.704,3.140,0.640,10.000
4.395,1.681,3.140,0.640,10.000
4.395,1.704,3.140,0.640,10.000
4.395,1.681,3.140,0.640,10.000
4.395,1.704,3.140,0.640,10.000
4.395,1.681,3.140,0.640,10.000
4.395,1.704,3.140,0.640,10.000
4.395,1.681,3.140,0.640,10.000
4.395,1.704,3.140,0.640,10.000
4.395,1.681,3.140,0.640,10.000
4.395,1.704,3.140,0.640,10.000
4.395,1.681,3.140,0.640,10.000
4.395,1.704,3.140,0.660,10.000
4.395,1.674,3.140,0.660,10.000
4.395,1.697,3.140,0.660,10.000
4.395,1.674,3.140,0.660,10.000
4.395,1.697,3.140,0.660,10.000
4.395,1.674,3.140,0.660,10.000
4.395,1.697,3.140,0.660,10.000
4.395,1.674,3.140,0.660,10.000
4.395,1.697,3.140,0.660,10.000
4.395,1.675,3.140,0.660,10.000
4.395,1.697,3.140,0.660,10.000
4.395,1.675,3.140,0.660,10.000
4.395,1.697,3.140,0.660,10.000
4.395,1.675,3.140,0.660,10.000
4.395,1.697,3.140,0.660,10.000
4.395,1.675,3.140,0.660,10.000
4.395,1.698,3.140,0.660,10.000
4.395,1.675,3.140,0.660,10.000
4.395,1.698,3.140,0.660,10.000
4.395,1.675,3.140,0.660,10.000
4.395,1.698,3.140,0.660,10.000
4.395,1.675,3.140,0.660,10.000
4.395,1.698,3.140,0.660,10.000
4.395,1.675,3.140,0.660,10.000
4.395,1.698,3.140,0.660,10.000
4.395,1.675,3.140,0.660,10.000
4.395,1.698,3.140,0.660,10.000
4.395,1.675,3.140,0.660,10.000
4.395,1.698,3.140,0.660,10.000
4.395,1.675,3.140,0.660,10.000
4.395,1.698,3.140,0.660,10.000
4.395,1.675,3.140,0.660,10.000
4.395,1.698,3.140,0.660,10.000
4.395,1.675,3.140,0.660,10.000
4.395,1.698,3.140,0.660,10.000
4.395,1.675,3.140,0.660,10.000
4.395,1.698,3.140,0.660,10.000
4.395,1.675,3.140,0.660,10.000
4.395,1.698,3.140,0.660,10.000
4.395,1.675,3.140,0.660,10.000
4.395,1.698,3.140,0.660,10.000
4.395,1.675,3.120,0.660,10.000
4.395,1.707,3.140,0.660,10.000
4.395,1.675,3.140,0.660,10.000
4.395,1.698,3.140,0.660,10.000
4.395,1.675,3.140,0.660,10.000
4.395,1.698,3.140,0.660,10.000
4.395,1.675,3.140,0.660,10.000
4.395,1.698,3.140,0.660,10.000
4.395,1.675,3.140,0.660,10.000
4.395,1.698,3.140,0.660,10.000
4.395,1.675,3.140,0.660,10.000
4.395,1.698,3.140,0.660,10.000
4.395,1.675,3.140,0.660,10.000
4.395,1.698,3.140,0.660,10.000
4.395,1.675,3.140,0.660,10.000
4.395,1.698,3.140,0.660,10.000
4.395,1.675,3.140,0.660,10.000
4.395,1.698,3.140,0.660,10.000
4.395,1.675,3.140,0.660,10.000
4.395,1.698,3.140,0.660,10.000
4.395,1.675,3.140,0.660,10.000
4.395,1.698,3.140,0.660,10.000
4.395,1.675,3.120,0.660,10.000
4.395,1.708,3.120,0.660,10.000
4.395,1.685,3.140,0.660,10.000
4.395,1.698,3.140,0.660,10.000
4.395,1.675,3.140,0.660,10.000
4.395,1.698,3.140,0.660,10.000
4.395,1.675,3.140,0.660,10.000
4.395,1.698,3.140,0.660,10.000
4.395,1.676,3.140,0.660,10.000
4.395,1.698,3.140,0.660,10.000
4.395,1.676,3.140,0.660,10.000
4.395,1.698,3.140,0.660,10.000
